requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.6749999999999999,5.458112535476684,14.894491195678713,8000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.6629999999999998,8.041011476973072,48.06737232208252,7600000000.0
gemma_4_e4b,gemma_4_e4b,zero_shot,0.5089999999999999,7.2149665530677884,14.894491195678713,8000000000.0
gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.49299999999999994,4.912712235460058,9.543148517608644,4000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.48699999999999993,9.275944331549107,48.06737232208252,7600000000.0
gemma_4_e4b,gemma_4_e4b,cot,0.4669999999999999,7.3416026241518555,14.894491195678713,8000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.45699999999999996,9.379478176208215,48.06737232208252,7600000000.0
phi_4_reasoning,phi_4_reasoning,cot,0.42699999999999994,4.8570163099840284,27.305460929870605,28000000000.0
phi_4_reasoning,phi_4_reasoning,zero_shot,0.42299999999999993,4.866063346434385,27.305460929870605,28000000000.0
gemma_4_e2b,gemma_4_e2b,zero_shot,0.4009999999999999,5.428939502229914,9.543148517608644,4000000000.0
gemma_4_e2b,gemma_4_e2b,cot,0.367,5.6392783871945,9.543148517608644,4000000000.0
qwen3_8b,qwen3_8b,few_shot_cot,0.322,5.041265470460057,15.256451606750488,16000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.22599999999999995,9.617921534376219,57.62053298950195,6000000000.0
phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.20399999999999996,4.920174099858851,27.305460929870605,28000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.20299999999999996,3.9828141339030116,7.145148277282715,7600000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.17899999999999996,3.982197158755735,7.145148277282715,7600000000.0
qwen3_30b_a3b,qwen3_30b_a3b,cot,0.16999999999999998,9.759745925720782,57.62053298950195,6000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.16599999999999998,4.0052384845074265,7.145148277282715,7600000000.0
qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.16599999999999998,9.627348740808664,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,zero_shot,0.146,5.2760429677180944,15.256451606750488,16000000000.0
qwen3_8b,qwen3_8b,cot,0.146,5.282322588423267,15.256451606750488,16000000000.0
